,Event,max,min,avg,pct
311,ActorCount/SPGameBuildingStructureActor/BP_SOCM_ST_MetalBox_001_A_C,100.0,100.0,100.0,0.00%
312,ActorCount/SPGameBuildingStructureActor/BP_SOCM_ST_MetalBox_001_B_C,100.0,100.0,100.0,0.00%
313,ActorCount/SPGameBuildingStructureActor/BP_StarPBuilding_Function_Breed_old_C,20.0,20.0,20.0,0.00%
314,ActorCount/SPGameBuildingStructureActor/BP_StarPBuilding_Function_Incubator_C,179.0,179.0,179.0,0.00%
315,ActorCount/SPGameBuildingStructureActor/BP_StarPBuilding_Function_Planter_Manure_Actor_C,20.0,20.0,20.0,0.00%
316,ActorCount/SPGameBuildingStructureActor/BP_StarPBuilding_Function_SeedBox_Actor_C,20.0,20.0,20.0,0.00%
317,ActorCount/SPGameBuildingStructureActor/BP_Starp_Building_Pet_WorkProxy_3_C,24.0,22.0,23.51,0.00%
318,ActorCount/SPGameBuildingStructureActor/BP_Starp_Building_Pet_WorkProxy_4_C,1.0,0.0,0.83,0.00%
319,ActorCount/SPGameBuildingStructureActor/BP_Starp_Building_Pet_WorkProxy_6_C,1.0,0.0,0.622,0.00%
320,ActorCount/SPGameCharacterBase/BP_SPGameCharacter_C,12.0,10.0,10.783,0.00%
321,ActorCount/SPGameInfo/BP_SPGameInfo_C,1.0,1.0,1.0,0.00%
322,ActorCount/SPGameLuaUtility,1.0,1.0,1.0,0.00%
323,ActorCount/SPGameModeV2/BP_IntactModMode_SPGame_C,1.0,1.0,1.0,0.00%
324,ActorCount/SPGameMonsterBase/BP_SP_ChiYingZhuQue_C,1.0,1.0,1.0,0.00%
325,ActorCount/SPGameMonsterBase/BP_SP_Cuilingying_C,0.0,0.0,0.0,0.00%
326,ActorCount/SPGameMonsterBase/BP_SP_Danxiaogui_C,5.0,0.0,1.009,0.00%
327,ActorCount/SPGameMonsterBase/BP_SP_HuZhongJun_C,0.0,0.0,0.0,0.00%
328,ActorCount/SPGameMonsterBase/BP_SP_Huojiaoyou_C,0.0,0.0,0.0,0.00%
329,ActorCount/SPGameMonsterBase/BP_SP_Kun_C,15.0,7.0,10.495,0.00%
330,ActorCount/SPGameMonsterBase/BP_SP_LeiDianLu_C,4.0,1.0,2.11,0.00%
331,ActorCount/SPGameMonsterBase/BP_SP_Moguiyu_C,0.0,0.0,0.0,0.00%
332,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Weidaohui_01_AttackStaves_C,3.0,0.0,1.514,0.00%
333,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Weidaohui_01_HealStaves_C,1.0,0.0,0.505,0.00%
334,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Weidaohui_02_Pistol_C,4.0,0.0,2.244,0.00%
335,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Weidaohui_02_Stick_C,1.0,0.0,0.505,0.00%
336,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Weidaohui_04_Heavysword_C,2.0,0.0,1.009,0.00%
337,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Weidaohui_04_Shotgun_C,1.0,0.0,0.617,0.00%
338,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Xingmozong_01_AttackStaves_C,1.0,1.0,1.0,0.00%
339,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Xingmozong_01_Pistol_C,6.0,6.0,6.0,0.00%
340,ActorCount/SPGameMonsterBase/BP_SP_PawnAI_Xingmozong_04_Sword_C,5.0,5.0,5.0,0.00%
341,ActorCount/SPGameMonsterBase/BP_SP_ShanXingXing_C,1.0,0.0,0.504,0.00%
342,ActorCount/SPGameMonsterBase/BP_SP_Suanniniu_C,0.0,0.0,0.0,0.00%
343,ActorCount/SPGameMonsterBase/BP_SP_TIANGOU_C,0.0,0.0,0.0,0.00%
344,ActorCount/SPGameMonsterBase/BP_SP_Xingxingquan_C,4.0,2.0,2.75,0.00%
345,ActorCount/SPGameMonsterBase/BP_SP_Yezhu01_C,2.0,0.0,0.402,0.00%
346,ActorCount/SPGameMonsterBase/BP_SP_Yezhu02_C,0.0,0.0,0.0,0.00%
347,ActorCount/SPGameMonsterBase/BP_SP_ZhuLiYe_C,8.0,0.0,1.828,0.00%
348,ActorCount/SPGameMonsterBase/BP_SP_baobaolong_C,0.0,0.0,0.0,0.00%
349,ActorCount/SPGameMonsterBase/BP_SP_bingbao_C,2.0,0.0,0.401,0.00%
350,ActorCount/SPGameMonsterBase/BP_SP_boss_yaodiexian_C,13.0,7.0,9.874,0.00%
351,ActorCount/SPGameMonsterBase/BP_SP_caiji_C,6.0,3.0,3.602,0.00%
352,ActorCount/SPGameMonsterBase/BP_SP_caodie_C,3.0,0.0,0.604,0.00%
353,ActorCount/SPGameMonsterBase/BP_SP_chuanshanke_C,4.0,0.0,0.806,0.00%
354,ActorCount/SPGameMonsterBase/BP_SP_dilaer_C,1.0,0.0,0.2,0.00%
355,ActorCount/SPGameMonsterBase/BP_SP_fajiaohou_C,5.0,0.0,2.337,0.00%
356,ActorCount/SPGameMonsterBase/BP_SP_gongchengshi_C,0.0,0.0,0.0,0.00%
357,ActorCount/SPGameMonsterBase/BP_SP_haolengwa_C,0.0,0.0,0.0,0.00%
358,ActorCount/SPGameMonsterBase/BP_SP_huasanxi_C,0.0,0.0,0.0,0.00%
359,ActorCount/SPGameMonsterBase/BP_SP_huiwuyao_C,28.0,14.0,20.047,0.00%
360,ActorCount/SPGameMonsterBase/BP_SP_huoxiongmao_C,0.0,0.0,0.0,0.00%
361,ActorCount/SPGameMonsterBase/BP_SP_jingangshu_C,1.0,0.0,0.484,0.00%
362,ActorCount/SPGameMonsterBase/BP_SP_lanbeike_C,4.0,0.0,1.559,0.00%
363,ActorCount/SPGameMonsterBase/BP_SP_leihou_C,15.0,7.0,10.895,0.00%
364,ActorCount/SPGameMonsterBase/BP_SP_linhexian_C,1.0,0.0,0.852,0.00%
365,ActorCount/SPGameMonsterBase/BP_SP_longmaju_C,0.0,0.0,0.0,0.00%
366,ActorCount/SPGameMonsterBase/BP_SP_maoyanji_C,0.0,0.0,0.0,0.00%
367,ActorCount/SPGameMonsterBase/BP_SP_mifeng_C,9.0,0.0,4.349,0.00%
368,ActorCount/SPGameMonsterBase/BP_SP_nainiu_C,3.0,0.0,0.601,0.00%
369,ActorCount/SPGameMonsterBase/BP_SP_nanguahou_C,18.0,2.0,5.984,0.00%
370,ActorCount/SPGameMonsterBase/BP_SP_pihuoxi_C,11.0,0.0,2.218,0.00%
371,ActorCount/SPGameMonsterBase/BP_SP_pupu_C,5.0,0.0,1.008,0.00%
372,ActorCount/SPGameMonsterBase/BP_SP_qianshanniu_C,0.0,0.0,0.0,0.00%
373,ActorCount/SPGameMonsterBase/BP_SP_qingtongniao_C,5.0,0.0,1.225,0.00%
374,ActorCount/SPGameMonsterBase/BP_SP_rongrongyang_C,19.0,6.0,11.848,0.00%
375,ActorCount/SPGameMonsterBase/BP_SP_shuimu_C,11.0,3.0,4.613,0.00%
376,ActorCount/SPGameMonsterBase/BP_SP_songsongyu_C,6.0,0.0,1.206,0.00%
377,ActorCount/SPGameMonsterBase/BP_SP_suanniniu_yazhong_C,2.0,0.0,0.645,0.00%
378,ActorCount/SPGameMonsterBase/BP_SP_tanglangren_C,0.0,0.0,0.0,0.00%
379,ActorCount/SPGameMonsterBase/BP_SP_tianlu_C,5.0,0.0,1.221,0.00%
380,ActorCount/SPGameMonsterBase/BP_SP_xingmeng_C,44.0,21.0,31.935,0.00%
381,ActorCount/SPGameMonsterBase/BP_SP_xizaoe_C,0.0,0.0,0.0,0.00%
382,ActorCount/SPGameMonsterBase/BP_SP_xuanma_C,6.0,0.0,2.893,0.00%
383,ActorCount/SPGameMonsterBase/BP_SP_yanshifu_C,11.0,0.0,2.207,0.00%
384,ActorCount/SPGameMonsterBase/BP_SP_yanshishi_C,4.0,0.0,0.803,0.00%
385,ActorCount/SPGameMonsterBase/BP_SP_yaoshifu_C,72.0,34.0,52.704,0.00%
386,ActorCount/SPGameMonsterBase/BP_SP_zhaocaiwa_C,5.0,0.0,1.005,0.00%
387,ActorCount/SPGameMonsterBase/BP_SP_zhuzixiong_C,15.0,6.0,10.714,0.00%
388,ActorCount/SPGameMonsterBase/BP_SP_zidiemiao_C,2.0,0.0,0.399,0.00%
389,ActorCount/SPGamePlayerInfo/BP_SPGamePlayerInfo_C,11.0,9.0,10.076,0.00%
390,ActorCount/SPHandgunWeapon/SP_Weapon_M1911_C,12.0,9.0,10.275,0.00%
391,ActorCount/SPLandscapeProxyActor,14.0,14.0,14.0,0.00%
392,ActorCount/SPLevelDataManager/Evt_SP_A01_POI_FollowElves_02_C,1.0,1.0,1.0,0.00%
393,ActorCount/SPLevelDataManager/Evt_SP_A01_WorldBoss_01_C,1.0,0.0,0.504,0.00%
394,ActorCount/SPLevelDataManager/Evt_SP_A02_POI_FlyingChallenges_01_C,2.0,2.0,2.0,0.00%
395,ActorCount/SPLevelDataManager/Evt_SP_A02_POI_FlyingChallenges_02_C,4.0,3.0,3.201,0.00%
396,ActorCount/SPLevelDataManager/Evt_SP_A02_POI_FlyingChallenges_03_C,5.0,5.0,5.0,0.00%
397,ActorCount/SPLevelDataManager/Evt_SP_A02_POI_FollowElves_01_C,1.0,0.0,0.624,0.00%
398,ActorCount/SPLevelDataManager/Evt_SP_A02_POI_FollowElves_04_C,1.0,1.0,1.0,0.00%
399,ActorCount/SPLevelDataManager/Evt_SP_A03_CampRescue_06_C,1.0,1.0,1.0,0.00%
400,ActorCount/SPLevelDataManager/Evt_SP_A03_FollowElf_02_C,1.0,0.0,0.623,0.00%
401,ActorCount/SPLevelDataManager/Evt_SP_A03_FollowElf_04_C,1.0,0.0,0.829,0.00%
402,ActorCount/SPLevelDataManager/Evt_SP_A03_WorldBoss_01_C,1.0,1.0,1.0,0.00%
403,ActorCount/SPLevelDataManager/Evt_SP_A04_POI_FlyingChallenges_04_C,3.0,3.0,3.0,0.00%
404,ActorCount/SPLevelDataManager/Evt_SP_A04_POI_FlyingChallenges_05_C,1.0,0.0,0.416,0.00%
405,ActorCount/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_05_C,1.0,1.0,1.0,0.00%
406,ActorCount/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_08_C,1.0,1.0,1.0,0.00%
407,ActorCount/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_11_1113_C,1.0,0.0,0.829,0.00%
408,ActorCount/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_15_C,1.0,0.0,0.829,0.00%
409,ActorCount/SPLevelDataManager/Evt_SP_A05_ChaseElves2_02_C,1.0,0.0,0.829,0.00%
410,ActorCount/SPLevelDataManager/Evt_SP_A08_CampRescue_03_C,1.0,0.0,0.505,0.00%
411,ActorCount/SPLevelDataManager/Evt_SP_A08_WorldBoss_02_C,1.0,0.0,0.852,0.00%
412,ActorCount/SPLevelDataManager/Evt_SP_TravelingMerchants_Encounter_C,1.0,0.0,0.622,0.00%
413,ActorCount/SPLevelDataManager/Evt_SP_TreasureBox_Encounter_Fight_C,3.0,2.0,2.617,0.00%
414,ActorCount/SPLevelDataManager/Evt_SP_TreasureBox_Encounter_Interaction_C,4.0,2.0,3.341,0.00%
415,ActorCount/SPMonsterStateInfo/BP_SPMonsterStateInfo_C,217.0,106.0,152.282,0.00%
416,ActorCount/SPObjectPool,4.0,4.0,4.0,0.00%
417,ActorCount/SPPlayerOfficialController/BP_SPPlayerController_V2_C,11.0,9.0,10.042,0.00%
418,ActorCount/SPRecastNavMesh,3.0,3.0,3.0,0.00%
419,ActorCount/SPTimeOfDayActor/BP_Starp_Base_C,1.0,1.0,1.0,0.00%
420,ActorCount/SP_AirWallActor/BP_SP_OpenWorld_AirWallActor_C,1.0,1.0,1.0,0.00%
421,ActorCount/SP_AirWallActor/BP_SP_Package_AirWall_C,1.0,1.0,1.0,0.00%
422,ActorCount/SP_BossCreatedEffect/BP_SP_DifficultBoss_ChangeEffects_C,1.0,0.0,0.181,0.00%
423,ActorCount/SP_CameraEffectCullingVolumeActor/BP_SP_CameraEffectCullingVolumeActor_C,1.0,1.0,1.0,0.00%
424,ActorCount/SP_CareerIdolActor/BP_SP_POI_CareerIdol_C,1.0,1.0,1.0,0.00%
425,ActorCount/SP_ChoppableActor/BP_SP_Choppable_Astrophyllite_C,8.0,2.0,6.216,0.00%
426,ActorCount/SP_ChoppableActor/BP_SP_Choppable_BambooBig_C,1.0,1.0,1.0,0.00%
427,ActorCount/SP_ChoppableActor/BP_SP_Choppable_BambooSmall_C,1.0,1.0,1.0,0.00%
428,ActorCount/SP_ChoppableActor/BP_SP_Choppable_BigTree_C,32.0,8.0,23.575,0.00%
429,ActorCount/SP_ChoppableActor/BP_SP_Choppable_BigTree_GM_C,1.0,1.0,1.0,0.00%
430,ActorCount/SP_ChoppableActor/BP_SP_Choppable_Coal_C,2.0,2.0,2.0,0.00%
431,ActorCount/SP_ChoppableActor/BP_SP_Choppable_IronOre_C,2.0,1.0,1.645,0.00%
432,ActorCount/SP_ChoppableActor/BP_SP_Choppable_PalmTree_C,1.0,1.0,1.0,0.00%
433,ActorCount/SP_ChoppableActor/BP_SP_Choppable_RareEarth_C,1.0,1.0,1.0,0.00%
434,ActorCount/SP_ChoppableActor/BP_SP_Choppable_Rock_C,8.0,4.0,7.158,0.00%
435,ActorCount/SP_ChoppableActor/BP_SP_Choppable_Saltpeter_C,1.0,1.0,1.0,0.00%
436,ActorCount/SP_CoveredTreasureChestActor/BP_SP_POI_CoveredTreasureChestActor_Rock_Silver_C,3.0,1.0,2.51,0.00%
437,ActorCount/SP_CoveredTreasureChestActor/BP_SP_POI_CoveredTreasureChestActor_Root_Silver_C,1.0,0.0,0.831,0.00%
438,ActorCount/SP_DifficultyChangeDeviceActor/BP_SP_DifficultBoss_ChangeDevice_C,3.0,1.0,2.356,0.00%
439,ActorCount/SP_DungeonEntranceActor/BP_SP_MazeEntrance_C,4.0,4.0,4.0,0.00%
440,ActorCount/SP_DungeonEntranceActor/BP_SP_RLTowerEntrance_C,3.0,0.0,1.43,0.00%
441,ActorCount/SP_DungeonEntranceActor/BP_SP_TowerEntrance_C,4.0,4.0,4.0,0.00%
442,ActorCount/SP_DungeonEntranceActor/BP_SP_UnderlandEntrance_C,39.0,36.0,38.141,0.00%
443,ActorCount/SP_DungeonTreasureChestActor/BP_SP_TreasureChestActor_Gold_C,2.0,1.0,1.505,0.00%
444,ActorCount/SP_DungeonTreasureChestActor/BP_SP_TreasureChestActor_Silver_C,3.0,2.0,2.617,0.00%
445,ActorCount/SP_FireBeadActor/BP_SP_POI_FireBeadActor_C,63.0,42.0,51.747,0.00%
446,ActorCount/SP_GodStatueActor/BP_SP_POI_GodStatueActor_C,1.0,1.0,1.0,0.00%
447,ActorCount/SP_IllegalBuildRegionActor/BP_SP_POI_IllegalBuildRegion_Sphere_Actor_C,57.0,50.0,52.999,0.00%
448,ActorCount/SP_InteractionTargetActor/BP_SP_POI_ChaseTheElves_Elves_C,14.0,4.0,11.882,0.00%
449,ActorCount/SP_InteractionTargetActor/BP_SP_POI_ChaseTheElves_Menorah_C,14.0,4.0,11.882,0.00%
450,ActorCount/SP_InteractionTargetActor/BP_SP_POI_FlyingChallenges_Trigger_C,15.0,13.0,13.617,0.00%
451,ActorCount/SP_MonsterSpawnPoint/SP_MonsterSpawnPoint_C,2.0,1.0,1.505,0.00%
452,ActorCount/SP_NPCActorCreator/BP_SP_POI_NPC_Creator_C,7.0,2.0,4.435,0.00%
453,ActorCount/SP_NPCGPOActorBase/BP_SP_Encounter_PetWorkActor_Merchant_C,1.0,0.0,0.622,0.00%
454,ActorCount/SP_POIEnemyCampActor/BP_SP_POI_ObstacleColumn_Large_C,1.0,1.0,1.0,0.00%
455,ActorCount/SP_POIEnemyCampActor/BP_SP_POI_ObstacleColumn_Small_C,1.0,0.0,0.505,0.00%
456,ActorCount/SP_PalAIController/BP_Pal_AICBase_C,441.0,211.0,302.361,0.00%
457,ActorCount/SP_PalAIController/BP_Pal_AIC_OWBoss_caoyuanshan_C,1.0,0.0,0.504,0.00%
458,ActorCount/SP_PetWorkActor/BP_SP_Encounter_PetWorkActor_Truck_C,1.0,0.0,0.622,0.00%
459,ActorCount/SP_PickablesBase/SP_BP_POI_Pickables_Carrot_C,1.0,0.0,0.421,0.00%
460,ActorCount/SP_PickablesBase/SP_BP_POI_Pickables_LanternFruit_C,6.0,1.0,3.218,0.00%
461,ActorCount/SP_PickablesBase/SP_BP_POI_Pickables_Lettuce_C,2.0,2.0,2.0,0.00%
462,ActorCount/SP_PickablesBase/SP_BP_POI_Pickables_Mushroom_C,5.0,0.0,2.224,0.00%
463,ActorCount/SP_PickablesBase/SP_BP_POI_Pickables_Pinecone_C,1.0,0.0,0.2,0.00%
464,ActorCount/SP_PickablesBase/SP_BP_POI_Pickables_Strawberry_C,19.0,4.0,8.379,0.00%
465,ActorCount/SP_PropsBase/BP_SP_Props_C,1.0,1.0,1.0,0.00%
466,ActorCount/SP_PropsBase/BP_SP_Props_Dynamic_C,128.0,128.0,128.0,0.00%
467,ActorCount/SP_PropsBase/BP_SP_Props_Static_C,64.0,64.0,64.0,0.00%
468,ActorCount/SP_StarEggActor/BP_SP_POI_StarEggActor_C,8.0,3.0,4.614,0.00%
469,ActorCount/SP_TeleportActor/BP_SP_POI_TeleportActor_C,25.0,20.0,23.464,0.00%
470,ActorCount/SP_TreasureChestActor/BP_SP_POI_TreasureChestActor_Cupper_C,8.0,3.0,5.352,0.00%
471,ActorCount/SP_TreasureChestActor/BP_SP_POI_TreasureChestActor_Gold_C,5.0,2.0,3.21,0.00%
472,ActorCount/SP_TreasureChestActor/BP_SP_POI_TreasureChestActor_Normal_C,21.0,15.0,17.644,0.00%
473,ActorCount/SP_TreasureChestActor/BP_SP_POI_TreasureChestActor_Silver_C,4.0,1.0,2.266,0.00%
474,ActorCount/SP_ViewPointActor/BP_SP_POI_ViewPointActor_C,6.0,5.0,5.857,0.00%
475,ActorCount/SP_WaterActor,168.0,168.0,168.0,0.00%
476,ActorCount/SP_WaterNavModifierVolume,9797.0,9797.0,9797.0,0.00%
477,ActorCount/SkeletalMeshActor,2.0,2.0,2.0,0.00%
478,ActorCount/StaticMeshActor,21476.0,21476.0,21476.0,0.00%
479,ActorCount/WorldSettings,3465.0,3465.0,3465.0,0.00%
480,ActorCount/XRayInfo,1.0,1.0,1.0,0.00%
481,ActorDestroyTime/CameraActor,0.014,0.0,0.0,0.00%
482,ActorDestroyTime/Category_Camera,0.079,0.0,0.0,0.00%
483,ActorDestroyTime/Category_Character,29.816,0.0,0.123,0.00%
484,ActorDestroyTime/Category_GameFramework,0.0,0.0,0.0,0.00%
485,ActorDestroyTime/Category_OtherActor,2.116,0.0,0.013,0.00%
486,ActorDestroyTime/Category_Player,3.191,0.0,0.011,0.00%
487,ActorDestroyTime/EcaPlayerState,0.014,0.0,0.0,0.00%
488,ActorDestroyTime/Emitter,0.0,0.0,0.0,0.00%
489,ActorDestroyTime/LevelRepInfoActor,0.054,0.0,0.0,0.00%
490,ActorDestroyTime/PlayerCameraManager,0.065,0.0,0.0,0.00%
491,ActorDestroyTime/PlayerDsSession,0.019,0.0,0.0,0.00%
492,ActorDestroyTime/PlayerServerDataProxy,0.006,0.0,0.0,0.00%
493,ActorDestroyTime/SPCaptureBallBase/BP_PrimaryCaptureBall_Level1_C,0.018,0.0,0.0,0.00%
494,ActorDestroyTime/SPComboMeleeWeapon/SP_Weapon_Hand_C,0.071,0.0,0.0,0.00%
495,ActorDestroyTime/SPGameBuildingStructureActor/BP_Starp_Building_Pet_WorkProxy_4_C,0.17,0.0,0.0,0.00%
496,ActorDestroyTime/SPGameBuildingStructureActor/BP_Starp_Building_Pet_WorkProxy_6_C,0.244,0.0,0.0,0.00%
497,ActorDestroyTime/SPGameCharacterBase/BP_SPGameCharacter_C,29.816,0.0,0.017,0.00%
498,ActorDestroyTime/SPGameMonsterBase/BP_SP_Cuilingying_C,0.0,0.0,0.0,0.00%
499,ActorDestroyTime/SPGameMonsterBase/BP_SP_Danxiaogui_C,0.0,0.0,0.0,0.00%
500,ActorDestroyTime/SPGameMonsterBase/BP_SP_HuZhongJun_C,0.0,0.0,0.0,0.00%
501,ActorDestroyTime/SPGameMonsterBase/BP_SP_Huojiaoyou_C,0.0,0.0,0.0,0.00%
502,ActorDestroyTime/SPGameMonsterBase/BP_SP_Kun_C,1.453,0.0,0.006,0.00%
503,ActorDestroyTime/SPGameMonsterBase/BP_SP_LeiDianLu_C,0.0,0.0,0.0,0.00%
504,ActorDestroyTime/SPGameMonsterBase/BP_SP_Moguiyu_C,0.0,0.0,0.0,0.00%
505,ActorDestroyTime/SPGameMonsterBase/BP_SP_PawnAI_Xingmozong_04_Sword_C,4.33,0.0,0.001,0.00%
506,ActorDestroyTime/SPGameMonsterBase/BP_SP_Suanniniu_C,0.0,0.0,0.0,0.00%
507,ActorDestroyTime/SPGameMonsterBase/BP_SP_TIANGOU_C,0.0,0.0,0.0,0.00%
508,ActorDestroyTime/SPGameMonsterBase/BP_SP_Xingxingquan_C,1.471,0.0,0.002,0.00%
509,ActorDestroyTime/SPGameMonsterBase/BP_SP_Yezhu01_C,0.0,0.0,0.0,0.00%
510,ActorDestroyTime/SPGameMonsterBase/BP_SP_Yezhu02_C,0.0,0.0,0.0,0.00%
511,ActorDestroyTime/SPGameMonsterBase/BP_SP_ZhuLiYe_C,0.0,0.0,0.0,0.00%
512,ActorDestroyTime/SPGameMonsterBase/BP_SP_baobaolong_C,0.0,0.0,0.0,0.00%
513,ActorDestroyTime/SPGameMonsterBase/BP_SP_bingbao_C,0.0,0.0,0.0,0.00%
514,ActorDestroyTime/SPGameMonsterBase/BP_SP_boss_yaodiexian_C,1.7,0.0,0.006,0.00%
515,ActorDestroyTime/SPGameMonsterBase/BP_SP_caiji_C,0.0,0.0,0.0,0.00%
516,ActorDestroyTime/SPGameMonsterBase/BP_SP_caodie_C,0.0,0.0,0.0,0.00%
517,ActorDestroyTime/SPGameMonsterBase/BP_SP_chuanshanke_C,0.0,0.0,0.0,0.00%
518,ActorDestroyTime/SPGameMonsterBase/BP_SP_dilaer_C,0.0,0.0,0.0,0.00%
519,ActorDestroyTime/SPGameMonsterBase/BP_SP_fajiaohou_C,3.987,0.0,0.002,0.00%
520,ActorDestroyTime/SPGameMonsterBase/BP_SP_gongchengshi_C,0.0,0.0,0.0,0.00%
521,ActorDestroyTime/SPGameMonsterBase/BP_SP_haolengwa_C,0.0,0.0,0.0,0.00%
522,ActorDestroyTime/SPGameMonsterBase/BP_SP_huasanxi_C,0.0,0.0,0.0,0.00%
523,ActorDestroyTime/SPGameMonsterBase/BP_SP_huiwuyao_C,1.522,0.0,0.011,0.00%
524,ActorDestroyTime/SPGameMonsterBase/BP_SP_huoxiongmao_C,0.0,0.0,0.0,0.00%
525,ActorDestroyTime/SPGameMonsterBase/BP_SP_jingangshu_C,1.402,0.0,0.0,0.00%
526,ActorDestroyTime/SPGameMonsterBase/BP_SP_lanbeike_C,1.052,0.0,0.001,0.00%
527,ActorDestroyTime/SPGameMonsterBase/BP_SP_leihou_C,1.495,0.0,0.006,0.00%
528,ActorDestroyTime/SPGameMonsterBase/BP_SP_linhexian_C,0.0,0.0,0.0,0.00%
529,ActorDestroyTime/SPGameMonsterBase/BP_SP_longmaju_C,0.0,0.0,0.0,0.00%
530,ActorDestroyTime/SPGameMonsterBase/BP_SP_maoyanji_C,0.0,0.0,0.0,0.00%
531,ActorDestroyTime/SPGameMonsterBase/BP_SP_mifeng_C,2.478,0.0,0.003,0.00%
532,ActorDestroyTime/SPGameMonsterBase/BP_SP_nainiu_C,0.0,0.0,0.0,0.00%
533,ActorDestroyTime/SPGameMonsterBase/BP_SP_nanguahou_C,1.323,0.0,0.002,0.00%
534,ActorDestroyTime/SPGameMonsterBase/BP_SP_pihuoxi_C,0.0,0.0,0.0,0.00%
535,ActorDestroyTime/SPGameMonsterBase/BP_SP_pupu_C,0.0,0.0,0.0,0.00%
536,ActorDestroyTime/SPGameMonsterBase/BP_SP_qianshanniu_C,0.0,0.0,0.0,0.00%
537,ActorDestroyTime/SPGameMonsterBase/BP_SP_qingtongniao_C,0.0,0.0,0.0,0.00%
538,ActorDestroyTime/SPGameMonsterBase/BP_SP_rongrongyang_C,1.583,0.0,0.008,0.00%
539,ActorDestroyTime/SPGameMonsterBase/BP_SP_shuimu_C,0.0,0.0,0.0,0.00%
540,ActorDestroyTime/SPGameMonsterBase/BP_SP_songsongyu_C,0.0,0.0,0.0,0.00%
541,ActorDestroyTime/SPGameMonsterBase/BP_SP_suanniniu_yazhong_C,1.095,0.0,0.001,0.00%
542,ActorDestroyTime/SPGameMonsterBase/BP_SP_tanglangren_C,0.0,0.0,0.0,0.00%
543,ActorDestroyTime/SPGameMonsterBase/BP_SP_tianlu_C,0.0,0.0,0.0,0.00%
544,ActorDestroyTime/SPGameMonsterBase/BP_SP_xingmeng_C,1.556,0.0,0.018,0.00%
545,ActorDestroyTime/SPGameMonsterBase/BP_SP_xizaoe_C,0.0,0.0,0.0,0.00%
546,ActorDestroyTime/SPGameMonsterBase/BP_SP_xuanma_C,4.785,0.0,0.001,0.00%
547,ActorDestroyTime/SPGameMonsterBase/BP_SP_yanshifu_C,0.0,0.0,0.0,0.00%
548,ActorDestroyTime/SPGameMonsterBase/BP_SP_yanshishi_C,0.0,0.0,0.0,0.00%
549,ActorDestroyTime/SPGameMonsterBase/BP_SP_yaoshifu_C,2.515,0.0,0.03,0.00%
550,ActorDestroyTime/SPGameMonsterBase/BP_SP_zhaocaiwa_C,0.0,0.0,0.0,0.00%
551,ActorDestroyTime/SPGameMonsterBase/BP_SP_zhuzixiong_C,1.564,0.0,0.006,0.00%
552,ActorDestroyTime/SPGameMonsterBase/BP_SP_zidiemiao_C,0.0,0.0,0.0,0.00%
553,ActorDestroyTime/SPGamePlayerInfo/BP_SPGamePlayerInfo_C,0.881,0.0,0.001,0.00%
554,ActorDestroyTime/SPHandgunWeapon/SP_Weapon_M1911_C,0.081,0.0,0.0,0.00%
555,ActorDestroyTime/SPLevelDataManager/Evt_SP_A02_POI_FlyingChallenges_02_C,0.568,0.0,0.0,0.00%
556,ActorDestroyTime/SPLevelDataManager/Evt_SP_A02_POI_FollowElves_01_C,0.413,0.0,0.0,0.00%
557,ActorDestroyTime/SPLevelDataManager/Evt_SP_A03_FollowElf_02_C,0.461,0.0,0.0,0.00%
558,ActorDestroyTime/SPLevelDataManager/Evt_SP_A03_FollowElf_04_C,0.439,0.0,0.0,0.00%
559,ActorDestroyTime/SPLevelDataManager/Evt_SP_A04_POI_FlyingChallenges_05_C,0.505,0.0,0.0,0.00%
560,ActorDestroyTime/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_08_C,0.481,0.0,0.0,0.00%
561,ActorDestroyTime/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_11_1113_C,0.449,0.0,0.0,0.00%
562,ActorDestroyTime/SPLevelDataManager/Evt_SP_A04_POI_FollowElves_15_C,0.417,0.0,0.0,0.00%
563,ActorDestroyTime/SPLevelDataManager/Evt_SP_A05_ChaseElves2_02_C,0.445,0.0,0.0,0.00%
564,ActorDestroyTime/SPLevelDataManager/Evt_SP_TravelingMerchants_Encounter_C,0.43,0.0,0.0,0.00%
565,ActorDestroyTime/SPLevelDataManager/Evt_SP_TreasureBox_Encounter_Fight_C,0.454,0.0,0.0,0.00%
566,ActorDestroyTime/SPLevelDataManager/Evt_SP_TreasureBox_Encounter_Interaction_C,0.46,0.0,0.0,0.00%
567,ActorDestroyTime/SPMonsterStateInfo/BP_SPMonsterStateInfo_C,0.589,0.0,0.009,0.00%
